Time (msec);Timing Advance (degrees);PLX Engine Speed (rpm);PLX Manifold Absolute Pressure (bar);PLX O2 - Wideband (Lambda)
80953;20,00;1173;0,26;0,97
81154;19,50;1153;0,27;0,96
81352;19,50;1114;0,27;0,94
81527;19,50;1095;0,28;0,94
81726;19,50;1075;0,29;0,93
81923;19,00;1036;0,29;0,94
82121;19,00;1017;0,30;0,93
82318;19,00;978;0,31;0,93
82494;19,00;978;0,32;0,93
82691;19,00;978;0,33;0,95
82890;19,00;978;0,32;0,94
83089;19,00;978;0,31;0,94
83287;18,50;978;0,32;0,94
83485;15,50;978;0,32;0,95
83682;17,50;978;0,31;0,96
83894;18,50;978;0,32;0,97
84069;13,50;938;0,32;0,98
84287;17,00;978;0,33;0,98
84459;19,00;958;0,32;0,97
84660;9,50;938;0,32;0,98
84859;9,50;978;0,33;1,01
85056;9,50;997;0,32;1,03
85230;9,50;1056;0,31;1,02
85434;9,50;1114;0,32;0,98
85610;19,00;1193;0,35;0,98
85808;25,00;1173;0,44;1,05
86006;28,00;1193;0,48;0,89
86207;28,00;1212;0,50;0,93
86402;28,50;1232;0,46;0,97
86599;28,00;1271;0,42;1,01
86803;27,00;1271;0,40;1,01
87005;25,00;1329;0,37;1,00
87204;24,00;1349;0,35;1,00
87378;24,00;1368;0,34;1,01
87574;23,50;1388;0,33;0,99
87774;23,00;1408;0,32;0,99
87983;22,50;1427;0,30;0,99
88162;22,50;1466;0,29;1,01
88361;22,50;1486;0,28;0,99
88558;22,50;1486;0,27;0,99
88757;22,50;1505;0,27;0,98
88934;17,00;1525;0,24;0,98
89130;17,00;1544;0,27;1,00
89326;17,00;1544;0,26;1,15
89524;17,00;1564;0,24;1,18
89726;17,50;1584;0,26;1,17
89900;17,50;1584;0,25;1,22
90104;17,50;1584;0,24;1,29
90303;17,50;1603;0,23;1,29
90502;17,50;1603;0,22;1,32
90704;17,50;1623;0,23;1,32
90904;17,50;1623;0,23;1,36
91082;17,50;1642;0,23;1,36
91281;18,00;1662;0,23;1,36
91482;18,00;1662;0,22;1,35
91678;18,00;1681;0,22;1,36
91888;18,00;1662;0,22;1,36
92086;18,00;1662;0,22;1,35
92284;18,00;1681;0,23;1,31
92484;18,00;1701;0,22;1,35
92686;18,00;1701;0,22;1,32
92885;18,00;1720;0,22;1,32
93086;18,50;1720;0,22;1,32
93281;18,50;1720;0,21;1,29
93481;18,50;1720;0,22;1,29
93681;18,50;1740;0,21;1,32
93884;18,50;1760;0,22;1,30
94082;18,50;1779;0,21;1,29
94279;18,50;1760;0,21;1,25
94490;18,50;1779;0,22;1,25
94688;18,50;1779;0,21;1,26
94889;18,50;1779;0,22;1,25
95089;18,50;1818;0,21;1,25
95290;19,00;1799;0,21;1,22
95491;19,00;1779;0,21;1,25
95689;18,50;1818;0,21;1,25
95887;19,00;1838;0,20;1,20
96085;19,00;1838;0,20;1,18
96284;19,00;1838;0,21;1,18
96481;19,00;1818;0,21;1,23
96679;19,00;1857;0,21;1,21
96884;19,00;1857;0,21;1,21
97082;19,00;1857;0,20;1,16
97279;19,00;1838;0,20;1,11
97480;19,00;1838;0,20;1,11
