Tune Datalog export of DL
Tune file: Race map for Sunday - TPS disabled4.bin
Total Frames: 7976
Duration :00:04:59.547
Frame,Duration,RPM,VSS(kmh),Gear,MAP(mBar),Boost(psi),PA(mBar),TPS(%),TPS Voltage(v),INJ Duration(ms),INJ Duty(%),Fuel Value,IGN Table(degrees),IGN Final(degrees),ECT(C),IAT(C),A/F Ratio,D14(v),BAT Voltage(v),ELD Voltage(v),MAP Voltage(v),MIL
101,3.729,1808,0,0,311,0,4082,0,0.47,0.41,1.00,129.50,24.50,25.25,88,55,15.69,2.92,13.87,4.57,0.33,OFF
102,3.763,1815,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,24.75,25.50,88,55,15.89,3.00,13.67,4.57,0.31,OFF
103,3.791,1809,0,0,311,0,4082,0,0.47,0.42,1.00,130.00,24.50,25.25,88,55,15.74,2.94,13.67,4.55,0.33,OFF
104,3.823,1825,0,0,295,0,4082,0,0.47,0.42,1.00,130.00,24.75,25.50,88,55,15.74,2.94,13.67,4.57,0.31,OFF
105,3.854,1816,0,0,311,0,4082,0,0.47,0.42,1.00,130.00,24.75,25.50,88,55,15.55,2.86,13.96,4.55,0.33,OFF
106,3.884,1823,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.75,25.50,88,55,15.50,2.84,13.96,4.55,0.31,OFF
107,3.932,1823,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.75,25.50,88,55,15.36,2.78,13.96,4.57,0.33,OFF
108,3.965,1838,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,25.00,25.75,88,55,15.74,2.94,13.96,4.55,0.31,OFF
109,3.998,1836,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,25.00,25.75,88,55,15.69,2.92,13.87,4.55,0.33,OFF
110,4.028,1845,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,25.00,25.75,88,55,15.79,2.96,13.87,4.57,0.31,OFF
111,4.062,1834,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,25.00,25.75,88,55,16.08,3.08,13.87,4.57,0.31,OFF
112,4.108,1843,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,25.00,25.75,88,55,16.17,3.12,13.77,4.55,0.33,OFF
113,4.143,1836,0,0,295,0,4082,0,0.47,0.40,1.00,124.75,25.00,25.75,88,55,15.69,2.92,13.77,4.55,0.31,OFF
114,4.176,1836,0,0,295,0,4082,0,0.47,0.40,1.00,124.75,25.00,25.75,88,55,15.89,3.00,13.77,4.55,0.31,OFF
115,4.208,1845,0,0,295,0,4082,0,0.47,0.41,1.00,129.75,25.00,25.75,88,55,15.50,2.84,13.77,4.55,0.31,OFF
116,4.238,1843,0,0,295,0,4082,0,0.47,0.40,1.00,124.75,25.00,25.75,88,55,16.13,3.10,13.77,4.57,0.31,OFF
117,4.284,1836,0,0,311,0,4082,0,0.47,0.40,1.00,124.25,25.00,25.75,88,55,16.13,3.10,13.87,4.55,0.33,OFF
118,4.32,1818,0,0,295,0,4082,0,0.47,0.40,1.00,124.25,24.75,25.50,88,55,15.14,2.69,13.87,4.57,0.31,OFF
119,4.345,1822,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,24.75,25.50,88,55,15.98,3.04,13.87,4.57,0.31,OFF
120,4.375,1816,0,0,295,0,4082,0,0.47,0.40,1.00,124.25,24.75,25.50,88,55,15.36,2.78,13.87,4.55,0.31,OFF
121,4.41,1801,0,0,311,0,4082,0,0.47,0.40,1.00,124.25,24.50,25.25,88,55,15.69,2.92,13.87,4.57,0.33,OFF
122,4.445,1785,0,0,311,0,4082,0,0.47,0.40,1.00,124.00,24.25,25.00,88,55,15.00,2.63,13.96,4.55,0.33,OFF
123,4.478,1784,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.25,25.00,88,55,15.69,2.92,13.96,4.57,0.33,OFF
124,4.508,1782,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.25,25.00,88,55,15.55,2.86,13.77,4.57,0.31,OFF
125,4.553,1784,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.25,25.00,88,55,16.08,3.08,13.77,4.55,0.33,OFF
126,4.589,1782,0,0,295,0,4082,0,0.47,0.41,1.00,129.75,24.25,25.00,88,55,16.22,3.14,13.77,4.57,0.31,OFF
127,4.65,1790,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.25,25.00,88,55,15.89,3.00,13.77,4.55,0.33,OFF
128,4.684,1799,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.50,25.25,88,55,15.79,2.96,13.96,4.55,0.33,OFF
129,4.715,1787,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.25,25.00,88,55,15.93,3.02,13.96,4.57,0.33,OFF
130,4.745,1790,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.50,25.00,88,55,16.08,3.08,14.06,4.55,0.31,OFF
131,4.779,1794,0,0,295,0,4082,0,0.47,0.41,1.00,129.00,24.25,25.00,88,55,15.74,2.94,14.06,4.57,0.31,OFF
132,4.812,1789,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.25,25.00,88,55,16.13,3.10,14.06,4.57,0.33,OFF
133,4.842,1790,0,0,295,0,4082,0,0.47,0.41,1.00,129.00,24.25,25.00,88,55,16.22,3.14,14.06,4.57,0.31,OFF
134,4.875,1784,0,0,295,0,4082,0,0.47,0.41,1.00,129.00,24.25,25.00,88,55,15.74,2.94,14.06,4.57,0.31,OFF
